Date,Hours,High,Low,Close,Volume,Nikki=5,Leqi=10,Jelmer=15,Maas=20,Coach,External,Title,Type,Description
2023-05-16,3,3,0,0,4,1,1,1,1,FALSE,FALSE,Visualization definition,Concept Development,"We defined the requirements of our visualization of the data we collect. We checked out some programs and made a plan of approach to do this, and with what program."
2023-05-15,1,1,0,0,4,1,1,1,1,FALSE,FALSE,Documenting data,Organization,We have started to use our benchmark cards to document data for the project
2023-05-15,6,6,25,25,5,1,FALSE,FALSE,1,FALSE,FALSE,Making website benchmark,Prototype Building,Together we finished the website building of the cards. Some struggles
2023-05-15,0.25,0.25,15,15,4,FALSE,FALSE,1,FALSE,FALSE,FALSE,Sending ERB,Testing,Sending the signed ERB form to the Ethical Review Board to be approved.
2023-05-13,1,1,0,0,5,1,1,1,1,FALSE,FALSE,Meeting,Organization,We had a small unorganized meeting on what we would present to mathias
2023-05-13,3,3,0,0,5,1,1,1,1,FALSE,FALSE,Starting the data collector,Prototype Building,We started programming the data collector tool in P5js. We started working in Github too.
2023-05-12,0.5,0.5,0,0,5,1,1,1,1,1,FALSE,Coach meeting,Evaluating,"Coach meeting with Mathias again, was very nice he was happy with what we did!"
2023-05-12,1,1,15,15,3,FALSE,FALSE,1,FALSE,1,FALSE,Signign ERB,Testing,Changing the ERB to fit the new set-up of data collection. Making sure that the document is signed and that the PDF is correct. Sending the PDF to Mathias. 
2023-05-12,1,1,15,15,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,Participant informed consent form,Testing,Creating and rewriting the participant informed consent form for the data collection. Proofreading the document to make sure it i correct 
2023-05-12,1,1,15,15,5,FALSE,FALSE,1,FALSE,FALSE,1,Finding participants,Testing,Messaging and talking to people I know in order to get them to participate in the final test. 
2023-05-11,3,3,0,0,3,1,1,1,1,FALSE,FALSE,Making the data cards,Brainstorm / Ideate,We worked on the benchmark cards in miro
